,Rookie Year,Name,rpts,rrebs,rasts,rstls,rblks,rtos,rmin,rgamp,rgams,rfg%,rft%,r3fg%,rWS/48,rBPM,rPER,rTS%,rVORP,pts,rebs,asts,stls,blks,tos,fg%,ft%,3fg%,WS/48,BPM,PER,TS%,VORP,2kRank
15,2010,James Harden,15.5972382,5.054085155,2.837744534,1.6570771,0.414269275,2.195627158,1738,76,0,0.403114187,0.808333333,0.375,0.124,1,14,0.551,1.3,24.39798995,4.570854271,5.487437186,1.712562814,0.458291457,3.557788945,0.437546746,0.851010101,0.368312757,0.206,5.5,23,0.6,5.7,88
16,2010,Gerald Henderson,11.45915493,5.577464789,1.318309859,1.014084507,0.912676056,1.41971831,355,43,0,0.355769231,0.744680851,0.210526316,0.056,-4.7,9.7,0.453,-0.2,17.80590717,4.219409283,2.987341772,1.147679325,0.573839662,1.82278481,0.446783626,0.82428115,0.33,0.073,-1.6,16.4,0.531,0.2,74
17,2010,Jrue Holiday,11.95925297,3.891341256,5.704584041,1.60950764,0.36672326,3.178268251,1767,73,51,0.442307692,0.755813954,0.389937107,0.032,-1.8,12.3,0.526,0.1,17.01572112,4.04784689,7.689678742,1.513328776,0.393711552,3.592617908,0.430900621,0.752066116,0.368421053,0.055,0.6,16.7,0.496,1.9,88
18,2010,Serge Ibaka,12.54421769,10.80272109,0.272108844,0.680272109,2.639455782,1.850340136,1323,73,0,0.543243243,0.630434783,0.5,0.134,-2.4,15.2,0.562,-0.1,15.2775543,8.934835076,0.622687048,0.405470636,3.504424779,1.810136766,0.573264782,0.7486911,0.350877193,0.181,2.1,19.4,0.612,2.6,84
19,2010,Brandon Jennings,17.11718458,3.800823662,6.334706103,1.4152003,0.242605766,2.695619618,2671,82,82,0.370888158,0.816849817,0.37371134,0.075,0.9,14.5,0.475,1.9,17.36002761,3.056955471,6.474283742,1.553331032,0.124266483,2.522609596,0.398556536,0.818505338,0.37527115,0.096,0.9,16.1,0.51,2.1,83
20,2010,Jonas Jerebko,11.9516129,7.709677419,0.935483871,1.274193548,0.467741936,1.322580645,2232,80,73,0.48092869,0.710227273,0.313043478,0.095,-0.2,13.9,0.545,1,15.21524664,7.466367713,1.735426009,1.533632287,0.322869955,1.695067265,0.449367089,0.772727273,0.301204819,0.107,-0.6,15.7,0.531,0.3,66
21,2010,James Johnson,12.17437252,6.087186262,2.282694848,0.998678996,2.044914135,2.948480845,757,65,11,0.452380952,0.728571429,0.326086957,0.054,-2.1,10.4,0.532,0,11.3166287,5.945330296,2.378132118,1.681093394,2.050113895,2.788154897,0.413427562,0.597014925,0.095238095,-0.028,-3,10.2,0.442,-0.2,66
22,2010,Ty Lawson,14.80424886,3.386949924,5.544764795,1.31107739,0.054628225,2.239757208,1318,65,8,0.515384615,0.757142857,0.409638554,0.135,0,16.4,0.6,0.7,17.41981695,2.836450458,7.177079188,1.532829288,0.114604059,2.60724234,0.461380021,0.75562701,0.36637931,0.141,1.4,17.9,0.549,2.2,85
23,2010,Wesley Matthews,13.67111111,3.395555556,2.204444444,1.137777778,0.266666667,1.653333333,2025,82,48,0.483185841,0.829015544,0.381818182,0.108,-0.2,12.3,0.592,0.9,15.31086142,2.861423221,2.606741573,1.348314607,0.269662921,1.632958801,0.435643564,0.796791444,0.397647059,0.093,1.2,14.1,0.574,2,77
24,2010,Eric Maynor,9.854304636,3.61589404,7.350993377,1.072847682,0.317880795,2.264900662,906,55,0,0.434042553,0.692307692,0.361702128,0.079,-3.2,11.6,0.492,-0.3,9.57544757,1.657289003,6.721227621,0.920716113,0,2.854219949,0.313043478,0.80952381,0.326086957,-0.003,-8.4,7.5,0.419,-0.6,67
25,2010,Jodie Meeks,12.51851852,5.333333333,1.62962963,0.962962963,0.296296296,1.481481481,486,41,0,0.361581921,0.857142857,0.280487805,0.029,-4.6,8.4,0.454,-0.3,13.37823211,3.701743836,1.493686109,1.255562237,0.108238124,1.125676488,0.386792453,0.895833333,0.356725146,0.085,-0.9,11.4,0.54,0.5,69
26,2010,A.J. Price,17.06358382,3.662427746,4.411560694,1.456647399,0.124855491,2.455491329,865,56,2,0.40960452,0.8,0.344827586,0.065,-1.8,14,0.53,0,12.42253521,3.211267606,5.774647887,0.929577465,0.084507042,1.802816901,0.389830509,0.790322581,0.35,0.084,-1.8,12.4,0.501,0.1,56
27,2010,Jeff Teague,11.41585535,3.354659249,6.108484006,1.702364395,0.550764951,2.503477051,719,71,3,0.396475771,0.836734694,0.21875,0.042,-4.2,11,0.459,-0.4,15.97260274,2.465753425,7.931506849,1.602739726,0.383561644,3.150684932,0.450718686,0.880530974,0.358870968,0.111,-0.7,16.8,0.543,0.8,75
28,2010,Hasheem Thabeet,8.4801812,9.907134768,0.448471121,0.611551529,3.628539071,1.753114383,883,68,13,0.58778626,0.580645161,0,0.109,-0.4,12.9,0.605,0.4,7.480519481,9.116883117,0.514285714,1.402597403,2.805194805,1.916883117,0.603773585,0.603773585,0,0.134,0.8,11.6,0.619,0.5,57
29,2010,Marcus Thornton,20.32692308,4.057692308,2.192307692,1.115384615,0.211538462,1.461538462,1872,73,17,0.450736127,0.813559322,0.373801917,0.103,-0.4,17.4,0.55,0.8,19.10544612,3.775202781,1.898030127,1.27230591,0.083429896,1.418308227,0.428940569,0.880952381,0.372031662,0.089,-0.7,16.3,0.552,0.6,75
