,Rookie Year,Name,rpts,rrebs,rasts,rstls,rblks,rmin,rgamp,rgams,rfg%,rft%,r3fg%,rWS/48,rBPM,rPER,rTS%,rVORP,pts,rebs,asts,stls,blks,fg%,ft%,3fg%,WS/48,BPM,PER,TS%,VORP,rtos,tos,Tier1,Tier2,Tier3,Tier4,Tier5
14,2010,Taj Gibson,12.00544465,9.980036298,1.143375681,0.8166969147,1.698729583,2204,82,70,0.4944356121,0.6457142857,0,0.103,-0.6,13.8,0.521,0.8,12.75668266,8.512679918,1.505140507,0.6662097327,2.220699109,0.485260771,0.679389313,0,0.109,-0.5,14.4,0.518,0.5,1.862068966,1.875257025,0,0,1,0,0
15,2010,James Harden,15.5972382,5.054085155,2.837744534,1.6570771,0.414269275,1738,76,0,0.4031141869,0.8083333333,0.375,0.124,1,14,0.551,1.3,24.39798995,4.570854271,5.487437186,1.712562814,0.4582914573,0.4375467464,0.851010101,0.3683127572,0.206,5.5,23,0.6,5.7,2.195627158,3.557788945,0,0,0,1,0
16,2010,Gerald Henderson,11.45915493,5.577464789,1.318309859,1.014084507,0.9126760563,355,43,0,0.3557692308,0.7446808511,0.2105263158,0.056,-4.7,9.7,0.453,-0.2,17.80590717,4.219409283,2.987341772,1.147679325,0.5738396624,0.4467836257,0.8242811502,0.33,0.073,-1.6,16.4,0.531,0.2,1.41971831,1.82278481,0,0,1,0,0
17,2010,Jrue Holiday,11.95925297,3.891341256,5.704584041,1.60950764,0.3667232598,1767,73,51,0.4423076923,0.7558139535,0.3899371069,0.032,-1.8,12.3,0.526,0.1,17.01572112,4.04784689,7.689678742,1.513328776,0.3937115516,0.4309006211,0.7520661157,0.3684210526,0.055,0.6,16.7,0.496,1.9,3.178268251,3.592617908,0,0,0,1,0
18,2010,Serge Ibaka,12.54421769,10.80272109,0.2721088435,0.6802721088,2.639455782,1323,73,0,0.5432432432,0.6304347826,0.5,0.134,-2.4,15.2,0.562,-0.1,15.2775543,8.934835076,0.6226870475,0.4054706356,3.504424779,0.5732647815,0.7486910995,0.350877193,0.181,2.1,19.4,0.612,2.6,1.850340136,1.810136766,0,0,0,1,0
19,2010,Brandon Jennings,17.11718458,3.800823662,6.334706103,1.4152003,0.2426057656,2671,82,82,0.3708881579,0.8168498168,0.3737113402,0.075,0.9,14.5,0.475,1.9,17.36002761,3.056955471,6.474283742,1.553331032,0.1242664826,0.3985565357,0.8185053381,0.3752711497,0.096,0.9,16.1,0.51,2.1,2.695619618,2.522609596,0,0,1,0,0
20,2010,Jonas Jerebko,11.9516129,7.709677419,0.935483871,1.274193548,0.4677419355,2232,80,73,0.4809286899,0.7102272727,0.3130434783,0.095,-0.2,13.9,0.545,1,15.21524664,7.466367713,1.735426009,1.533632287,0.3228699552,0.4493670886,0.7727272727,0.3012048193,0.107,-0.6,15.7,0.531,0.3,1.322580645,1.695067265,0,1,0,0,0
21,2010,James Johnson,12.17437252,6.087186262,2.282694848,0.998678996,2.044914135,757,65,11,0.4523809524,0.7285714286,0.3260869565,0.054,-2.1,10.4,0.532,0,11.3166287,5.945330296,2.378132118,1.681093394,2.050113895,0.4134275618,0.5970149254,0.09523809524,-0.028,-3,10.2,0.442,-0.2,2.948480845,2.788154897,0,1,0,0,0
22,2010,Ty Lawson,14.80424886,3.386949924,5.544764795,1.31107739,0.05462822458,1318,65,8,0.5153846154,0.7571428571,0.4096385542,0.135,0,16.4,0.6,0.7,17.41981695,2.836450458,7.177079188,1.532829288,0.1146040589,0.4613800206,0.7556270096,0.3663793103,0.141,1.4,17.9,0.549,2.2,2.239757208,2.60724234,0,0,1,0,0
23,2010,Wesley Matthews,13.67111111,3.395555556,2.204444444,1.137777778,0.2666666667,2025,82,48,0.4831858407,0.829015544,0.3818181818,0.108,-0.2,12.3,0.592,0.9,15.31086142,2.861423221,2.606741573,1.348314607,0.2696629213,0.4356435644,0.7967914439,0.3976470588,0.093,1.2,14.1,0.574,2,1.653333333,1.632958801,0,0,1,0,0
24,2010,Eric Maynor,9.854304636,3.61589404,7.350993377,1.072847682,0.3178807947,906,55,0,0.4340425532,0.6923076923,0.3617021277,0.079,-3.2,11.6,0.492,-0.3,9.57544757,1.657289003,6.721227621,0.9207161125,0,0.3130434783,0.8095238095,0.3260869565,-0.003,-8.4,7.5,0.419,-0.6,2.264900662,2.854219949,0,1,0,0,0
25,2010,Jodie Meeks,12.51851852,5.333333333,1.62962963,0.962962963,0.2962962963,486,41,0,0.3615819209,0.8571428571,0.2804878049,0.029,-4.6,8.4,0.454,-0.3,13.37823211,3.701743836,1.493686109,1.255562237,0.1082381239,0.3867924528,0.8958333333,0.3567251462,0.085,-0.9,11.4,0.54,0.5,1.481481481,1.125676488,0,1,0,0,0
